Kæde,Navn,Adresse,Postnr,By,Latitude,Longitude
Burger King,Copenhagen Nørreport,"Frederiksborggade 12, 1360 København K",1360,København K,55.683237,12.573066
Burger King,Copenhagen Rådhuspladsen,"Rådhuspladsen 55, 1550 Kbh V",1550,Kbh V,55.676448,12.569685
Burger King,Copenhagen Vesterbrogade,"Vesterbrogade 2B, 1620 Kbh V",1620,Kbh V,55.675663,12.566613
Burger King,Ørestad,"Hannemanns Allé 30, 2300 København S",2300,København S,55.626062,12.577081
Burger King,Copenhagen Fields,"Arne Jacobsens Allé 12, 2300 København S",2300,København S,55.630566,12.57748
Burger King,Poppelstykket,"Ellebjergvej 142, 2450 København SV",2450,København SV,55.65104,12.509646
Burger King,Brøndby,"Søndre Ringvej 41, 2605 Brøndby",2605,Brøndby,55.655031,12.395342
Burger King,Rødovre,"Jyllingevej 336C, 2610 Rødovre",2610,Rødovre,55.692257,12.434044
Burger King,Taastrup,"Helgeshøj Alle 32B, 2630 Taastrup",2630,Taastrup,55.657273,12.281298
Burger King,Ishøj,"Vejleåvej 17, 2635 Ishøj",2635,Ishøj,55.623419,12.321986
Burger King,Greve,"Mosede Landevej 58, 2670 Greve",2670,Greve,55.584082,12.257568
Burger King,Vanløse,"Jernbane Allé 44, 2720 Vanløse",2720,Vanløse,55.68687,12.491013
Burger King,Kastrup (Lufthavnen),"Københavns Lufthavn, Terminal 3, Landside 1. sal, 2770 Kastrup",2770,Kastrup,55.629985,12.653485
Burger King,Lyngby,"Lyngby Kulturcenter, Klampenborgvej 215 J, 2800 Lyngby",2800,Lyngby,55.771146,12.507487
Burger King,Hillerød,"Sigrunsvej 2, 3400 Hillerød",3400,Hillerød,55.932524,12.262263
Burger King,Frederikssund Sillebroen,"Nygade 1, 3600 Frederikssund",3600,Frederikssund,55.836002,12.064436
Burger King,Roskilde,"Køgevej 101, 4000 Roskilde",4000,Roskilde,55.626552,12.091857
Burger King,Ringsted,"Klosterparks Alle 6, 4100 Ringsted",4100,Ringsted,55.453044,11.789271
Burger King,Slagelse,"Idagårdsvej 6, 4200 Slagelse",4200,Slagelse,55.392318,11.352456
Burger King,Køge,"Nordhøj 4, 4600 Køge",4600,Køge,55.488625,12.162482
Burger King,Næstved,"Erantisvej 48-50, 4700 Næstved",4700,Næstved,55.23843,11.77808
Burger King,Nykøbing Falster,"Guldborgsundcentret 4, 4800 Nykøbing Falster",4800,Nykøbing Falster,54.759686,11.855024
Burger King,Nørre Alslev,"Baltivej 12, 4840 Nørre Alslev",4840,Nørre Alslev,54.898899,11.918619
Burger King,Odense Ørbækvej,"Ørbækvej 232, 5220 Odense SØ",5220,Odense SØ,55.377587,10.436001
Burger King,Odense Roulund,"Drejebænken 3, 5260 Odense",5260,Odense,55.354222,10.420827
Burger King,Middelfart,"Skovsvinget 27, 5500 Middelfart",5500,Middelfart,55.512019,9.766172
Burger King,Nyborg,"Slipshavnsvej 5, 5800 Nyborg",5800,Nyborg,55.30755,10.812712
Burger King,Kolding DT (Vejlevej),"Vejlevej 114, 6000 Kolding",6000,Kolding,55.50294,9.459266
Burger King,Kolding Syd,"Vonsildvej 1, 6000 Kolding",6000,Kolding,55.469348,9.471743
Burger King,Haderslev,"Laurids Skaus Gade 36, 6100 Haderslev",6100,Haderslev,55.254082,9.482457
Burger King,Rødekro,"Kometvej 6A, 6230 Rødekro",6230,Rødekro,55.069174,9.362143
Burger King,Tønder,"Nordre Landevej 26, 6270 Tønder",6270,Tønder,54.950001,8.885809
Burger King,Sønderborg,"Ingolf Nielsen Vej 1, 6400 Sønderborg",6400,Sønderborg,54.926698,9.78194
Burger King,Esbjerg Broen,"Exnersgade 18, 6700 Esbjerg",6700,Esbjerg,55.465456,8.458878
Burger King,Esbjerg Gjesing (Gl Vardevej),"Gl Vardevej 243, 6715 Esbjerg N",6715,Esbjerg N,55.508436,8.453165
Burger King,Ribe,"Ole Rømers Vej 3, 6760 Ribe",6760,Ribe,55.352462,8.781618
Burger King,Fredericia,"Snaremosevej 180-182, 7000 Fredericia",7000,Fredericia,55.537089,9.717174
Burger King,Vejle,"Horsensvej 121, 7100 Vejle",7100,Vejle,55.722548,9.570185
Burger King,Vejle Syd,"Godthåbsvej 53, 7100 Vejle",7100,Vejle,55.663004,9.548803
Burger King,Brande,"Sjællandsvej 4, 7330 Brande",7330,Brande,55.927998,9.159447
Burger King,Holstebro,"Nyholmvej 3-6, 7500 Holstebro",7500,Holstebro,56.377702,8.620432
Burger King,Skive,"Østergårdsbakken 1A, 7800 Skive",7800,Skive,56.569685,8.998206
Burger King,Århus,"Banegårdspladsen 10, 8000 Aarhus C",8000,Aarhus C,56.150829,10.203694
Burger King,Trøjborg,"Otte Ruds Gade 98, 8200 Aarhus",8200,Aarhus,56.172507,10.21184
Burger King,Viby,"Ormslevvej 40, 8260 Viby J",8260,Viby J,56.130885,10.160072
Burger King,Tilst,"Blomstervej 2R, 8381 Tilst",8381,Tilst,56.182844,10.123874
Burger King,Galten,"Erhvervsparken Klank 2, 8464 Galten",8464,Galten,56.14675,9.91837
Burger King,Lystrup,"Lægårdsvej 6, 8520 Lystrup",8520,Lystrup,56.225499,10.238493
Burger King,Silkeborg,"Viborgvej 14, 8600 Silkeborg",8600,Silkeborg,56.185426,9.543605
Burger King,Horsens,"Vrøndingvej 1C, 8700 Horsens",8700,Horsens,55.885812,9.787788
Burger King,Hedensted,"Kildeparken 10, 8722 Hedensted",8722,Hedensted,55.786033,9.668334
Burger King,Viborg,"Holstebrovej 6A, 8800 Viborg",8800,Viborg,56.45008,9.387965
