Operatør,Navn,Adresse,Postnr,By,Effekt_kW,Stik,Antal_ladere,Latitude,Longitude
Allego,Allego Taastrup,"Helgeshøj Alle 32, 2630 Taastrup",2630,Taastrup,300,CCS,6,55.660881,12.285276
Allego,Allego Helsingor,"Klostermosevej 103, 3000 Helsingør",3000,Helsingør,300,CCS,4,56.023625,12.571935
Allego,Allego Slagelse,"Idagårdsvej 4, 4200 Slagelse",4200,Slagelse,300,CCS,6,55.391938,11.352422
Allego,Allego Vordingborg,"Højgaardsvej 2, 4760 Vordingborg",4760,Vordingborg,400,CCS,6,54.997733,12.002979
Allego,Allego Norre Alslev,"Baltivej 10, 4840 Nørre Alslev",4840,Nørre Alslev,300,CCS,6,54.898954,11.91799
Allego,Allego Maribo,"Europavej 7a, 4930 Maribo",4930,Maribo,300,CCS,8,54.779069,11.477722
Allego,Allego Odense,"Drejebænken 3, 5260 Odense",5260,Odense,300,CCS,6,55.354133,10.420619
Allego,Allego Aarup,"Gamle Hovedvej 25, 5560 Aarup",5560,Aarup,300,CCS,6,55.413935,10.05588
Allego,Allego Fredericia,"Adelvej 59A, 7000 Fredericia",7000,Fredericia,300,CCS,4,55.537181,9.623944
Allego,Allego Vejle,"Solkilde Alle 11A, 7100 Vejle",7100,Vejle,400,CCS,10,55.724862,9.583896
Allego,Allego Tilst,"Blomstervej 2R, 8381 Tilst",8381,Tilst,300,CCS,4,56.181618,10.124722
Allego,Allego Galten,"Erhvervsparken Klank 2B, 8464 Galten",8464,Galten,400,CCS,11,56.146673,9.919211
Allego,Allego Horsens,"Langmarksvej 41, 8700 Horsens",8700,Horsens,300,CCS,4,55.87131,9.85256
Allego,Allego Frederikshavn,"Apholmenvej 3, 9900 Frederikshavn",9900,Frederikshavn,300,CCS,4,57.461531,10.520991
AmpGo,AmpGo - Monta - Skagensvej 23,"Skagensvej 23, 9982 Ålbæk",9982,Ålbæk,300,CCS,4,57.592474,10.412625
Better Energy,Better Energy Jyllandsgade Sønderborg,"Jyllandsgade 26, 6400 Sønderborg",6400,Sønderborg,360,CCS,4,54.919509,9.817816
Circle K,Circle K Godthåbsvej,"Godthåbsvej 144, 2000 Frederiksberg",2000,Frederiksberg,400,CCS,2,55.690003,12.519068
