Mærke,Navn,Adresse,Postnr,By,Latitude,Longitude
CNG/biogas,CNG København S (Prags Boulevard / OK),"Prags Boulevard 69, 2300 København S",2300,København S,55.670183,12.624383
CNG/biogas,CNG Høje-Taastrup,"Estland Allé 3, 2630 Taastrup",2630,Taastrup,55.634612,12.253418
CNG/biogas,CNG Ishøj (Bioman),"Industribuen 19, 2635 Ishøj",2635,Ishøj,55.616382,12.3268
CNG/biogas,CNG Skovlunde (OK),"Mileparken 2, 2740 Skovlunde",2740,Skovlunde,55.712835,12.419747
CNG/biogas,CNG Kastrup (Lufthavnen),"Lufthavnsboulevarden 6, 2770 Kastrup",2770,Kastrup,55.629513,12.639366
CNG/biogas,CNG Søborg,"Columbusvej 6, 2860 Søborg",2860,Søborg,55.737448,12.477809
CNG/biogas,CNG Frederikssund,"Pedersholmparken 10, 3600 Frederikssund",3600,Frederikssund,55.823212,12.094703
CNG/biogas,CNG Køge (Bioman),"Centervej 9, 4600 Køge",4600,Køge,55.492213,12.162455
CNG/biogas,CNG Odense (Ørbækvej),"Ørbækvej 260, 5220 Odense SØ",5220,Odense SØ,55.375933,10.438466
CNG/biogas,CNG Odense SV (Bioman),"Logistikvej 19, 5250 Odense SV",5250,Odense SV,55.364283,10.312624
CNG/biogas,CNG Sønderborg (Nature Energy),"Hørtoftvej 19K, 6400 Sønderborg",6400,Sønderborg,54.924854,9.725163
CNG/biogas,CNG Fredericia,"Europavej 46, 7000 Fredericia",7000,Fredericia,55.544126,9.638634
CNG/biogas,CNG Vejle (Nature Energy),"Stiftsvej 1A, 7100 Vejle",7100,Vejle,55.746664,9.599173
CNG/biogas,CNG Holstebro,"Bisgårdmark 5, 7500 Holstebro",7500,Holstebro,56.358189,8.602133
CNG/biogas,CNG Skive (Bjørnevej),"Bjørnevej 17, 7800 Skive",7800,Skive,56.534944,9.028408
CNG/biogas,CNG Skive (Ågade / OK),"Ågade 18, 7800 Skive",7800,Skive,56.567867,9.03375
CNG/biogas,CNG Silkeborg (Nature Energy),"Bredhøjvej 17, 8600 Silkeborg",8600,Silkeborg,56.188179,9.552114
CNG/biogas,CNG Horsens (Bioman),"Ålkærgårdvej 13, 8700 Horsens",8700,Horsens,55.920881,9.80795
CNG/biogas,CNG Aalborg,"Troensevej 16, 9220 Aalborg Øst",9220,Aalborg Øst,57.02612,10.010872
CNG/biogas,CNG Frederikshavn,"Suderbovej 16, 9900 Frederikshavn",9900,Frederikshavn,57.428342,10.500514
Circle K,"CIRCLE K KAMPMANNSGADE, KBH V","Kampmannsgade 2, 1604 København V",1604,København V,55.677756,12.562071
Circle K,CIRCLE K GODTHÅBSVEJ,"Godthåbsvej 144, 2000 Frederiksberg",2000,Frederiksberg,55.689926,12.518996
Circle K,CIRCLE K STRANDBOULEVARDEN,"Strandboulevarden 91, 2100 København Ø",2100,København Ø,55.70641,12.585867
Circle K,"CIRCLE K AMAGERFÆLLEDVEJ, KBH S","Amagerfælledvej 38, 2300 København S",2300,København S,55.66447,12.594184
Circle K,CIRCLE K ENGLANDSVEJ,"Englandsvej 218, 2300 København S",2300,København S,55.63928,12.59918
Circle K,"CIRCLE K VERMLANDSGADE, KBH S","Vermlandsgade 41, 2300 København S",2300,København S,55.668514,12.605771
Circle K,"CIRCLE K FREDERIKSBORGVEJ, KBH NV","Frederiksborgvej 53, 2400 København NV",2400,København NV,55.70593,12.531742
